"applicant_id","applicant_date","applicant_time","cust_id","applicant_income","coapplicant_income","credit_history","property_area","loan_amount","loan_amount_term","loan_account_id"
"2404060004","20240406","115520","CI00000122","4755","0","0.00","Semiurban","95",\N,"202404060004"
"2404070001","20240407","095512","CI00000146","2750","0","0.00","Urban","130","360","202404070001"
"2404070002","20240407","140555","CI00000139","2419","1707","1.00","Urban","124","360","202404070002"
"2404080001","20240408","132149","CI00000971","4009","1777","1.00","Urban","113","360","202404080001"
"2404080002","20240408","132149","CI00000863","3358","0","1.00","Semiurban","80","36","202404080002"
"2404080003","20240408","143428","CI00000699","3660","5064","1.00","Semiurban","187","360","202404080003"
"2404080004","20240408","111550","CI00000657","2995","0","1.00","Urban","60","360","202404080004"
"2404080005","20240408","131011","CI00000603","5941","4232","1.00","Semiurban","296","360","202404080005"
"2404080006","20240408","101052","CI00000576","4750","2333","1.00","Urban","130","360","202404080006"
"2404090001","20240409","132149","CI00000833","2600","700","1.00","Semiurban","96","360","202404090001"
"2404090002","20240409","111550","CI00000807","3808","0","1.00","Rural","83","360","202404090002"
"2404090003","20240409","143428","CI00000609","3500","2168","1.00","Rural","149","360","202404090003"
"2404090004","20240409","111550","CI00000597","2166","2166","0.00","Urban","108","360","202404090004"
"2404090005","20240409","132149","CI00000428","4333","1811","0.00","Urban","160","360","202404090005"
"2404090006","20240409","152512","CI00000015","3073","8106","1.00","Urban","200","360","202404090006"
"2404100001","20240410","154707","CI00000953","3833","0","1.00","Rural","110","360","202404100001"
"2404100002","20240410","152512","CI00000855","3652","0","1.00","Semiurban","95","360","202404100002"
"2404100003","20240410","153549","CI00000760","10833","0","1.00","Semiurban","234","360","202404100003"
"2404100004","20240410","152512","CI00000750","2773","1497","1.00","Semiurban","108","360","202404100004"
"2404100005","20240410","103050","CI00000736","3015","2188","1.00","Rural","153","360","202404100005"
"2404100006","20240410","153549","CI00000730","8334","0","1.00","Semiurban","160","360","202404100006"
"2404100007","20240410","153549","CI00000670","10000","0","1.00","Urban",\N,"360","202404100007"
"2404100008","20240410","154707","CI00000560","2666","2083","1.00","Rural","95","360","202404100008"
"2404100009","20240410","153549","CI00000505","4483","0","0.00","Semiurban","135","360","202404100009"
"2404100010","20240410","114513","CI00000502","4000","3917","1.00","Rural","173","360","202404100010"
"2404100011","20240410","115520","CI00000437","2750","1842","1.00","Semiurban","115","360","202404100011"
"2404100012","20240410","131421","CI00000388","2510","1983","1.00","Urban","140","180","202404100012"
"2404100013","20240410","140555","CI00000319","3858","0","1.00","Semiurban","76","360","202404100013"
"2404110001","20240411","115520","CI00000602","3333","2500","1.00","Semiurban","128","360","202404110001"
"2404110002","20240411","132149","CI00000578","3013","3033","0.00","Urban","95","300","202404110002"
"2404110003","20240411","140555","CI00000379","3089","2999","1.00","Rural","100","240","202404110003"
"2404110004","20240411","132149","CI00000293","0","1760","1.00","Semiurban","180","360","202404110004"
"2404110005","20240411","154707","CI00000035","9560","0","1.00","Semiurban","191","360","202404110005"
"2404120001","20240412","101052","CI00000910","16666","0","1.00","Urban","275","360","202404120001"
"2404120002","20240412","101052","CI00000606","4566","0","1.00","Urban","100","360","202404120002"
"2404120003","20240412","132149","CI00000413","4855","0","1.00","Rural","72","360","202404120003"
"2404130001","20240413","140555","CI00000889","6958","1411","1.00","Rural","150","360","202404130001"
"2404130002","20240413","095512","CI00000866","1700","2900","0.00","Urban","67","360","202404130002"
"2404130003","20240413","111550","CI00000252","2577","3750","1.00","Rural","152","360","202404130003"
"2404140001","20240414","131011","CI00000888","5041","700","1.00","Urban","150","360","202404140001"
"2404140002","20240414","132149","CI00000773","5000","0","1.00","Rural","126","360","202404140002"
"2404140003","20240414","143428","CI00000579","6822","0","1.00","Rural","141","360","202404140003"
"2404140004","20240414","143428","CI00000129","3846","0","1.00","Semiurban","111","360","202404140004"
"2404140005","20240414","131011","CI00000063","1888","1620","1.00","Urban","48","360","202404140005"
"2404150001","20240415","142728","CI00000734","7740","0","1.00","Urban","128","180","202404150001"
"2404150002","20240415","131011","CI00000648","6256","0","0.00","Urban","160","360","202404150002"
"2404150003","20240415","140555","CI00000439","3103","1300","1.00","Urban","80","360","202404150003"
"2404150004","20240415","154707","CI00000305","33846","0","1.00","Semiurban","260","360","202404150004"
"2404150005","20240415","115520","CI00000137","3333","2000","0.00","Semiurban","99","360","202404150005"
"2404160001","20240416","153549","CI00000370","3716","0","1.00","Rural","42","180","202404160001"
"2404170001","20240417","132149","CI00000653","4333","0","1.00","Urban","66","480","202404170001"
"2404170002","20240417","095512","CI00000506","4521","1184","1.00","Semiurban","150","360","202404170002"
"2404170003","20240417","131011","CI00000468","5000","2541","1.00","Rural","151","480","202404170003"
"2404170004","20240417","131421","CI00000463","2383","3334","1.00","Semiurban","172","360","202404170004"
"2404180001","20240418","140555","CI00000937","5817","910","1.00","Urban","109","360","202404180001"
"2404180002","20240418","111550","CI00000897","3621","2717","1.00","Urban","171","360","202404180002"
"2404180003","20240418","153549","CI00000805","3583","0","1.00","Urban","96","360","202404180003"
"2404180004","20240418","101052","CI00000726","4301","0","1.00","Urban","118","360","202404180004"
"2404180005","20240418","115520","CI00000602","3333","2500","1.00","Semiurban","128","360","202404180005"
"2404180006","20240418","114513","CI00000577","5708","0","1.00","Rural","150","360","202404180006"
"2404180007","20240418","153549","CI00000295","5516","11300","0.00","Semiurban","495","360","202404180007"
"2404180008","20240418","152512","CI00000210","8449","0","1.00","Rural","257","360","202404180008"
"2404190001","20240419","143428","CI00000774","5333","1131","0.00","Urban","186","360","202404190001"
"2404190002","20240419","132149","CI00000728","3508","0","1.00","Rural","99","360","202404190002"
"2404190003","20240419","095512","CI00000716","3340","1710","0.00","Rural","150","360","202404190003"
"2404190004","20240419","131011","CI00000588","7830","2183","1.00","Rural","212","360","202404190004"
"2404190005","20240419","143428","CI00000264","4583","5625","1.00","Semiurban","255","360","202404190005"
"2404200001","20240420","131421","CI00000976","3250","1993","0.00","Semiurban","126","360","202404200001"
"2404200002","20240420","095512","CI00000776","9000","0","1.00","Rural","122","360","202404200002"
"2404200003","20240420","095512","CI00000536","8706","0","1.00","Rural","108","480","202404200003"
"2404200004","20240420","143428","CI00000189","7451","0","1.00","Semiurban",\N,"360","202404200004"
"2404210001","20240421","111550","CI00000882","2667","1625","0.00","Urban","84","360","202404210001"
"2404210002","20240421","115520","CI00000617","2545","0","1.00","Urban","74","360","202404210002"
"2404210003","20240421","152512","CI00000495","3958","2632","1.00","Semiurban","160","360","202404210003"
"2404210004","20240421","114513","CI00000367","4758","0","1.00","Semiurban","158","480","202404210004"
"2404210005","20240421","095512","CI00000071","5649","0","1.00","Urban","44","360","202404210005"
"2404210006","20240421","131421","CI00000028","3365","1917","0.00","Rural","112","360","202404210006"
"2404220001","20240422","152512","CI00000855","3652","0","1.00","Semiurban","95","360","202404220001"
"2404220002","20240422","143428","CI00000819","570","2125","1.00","Rural","68","360","202404220002"
"2404220003","20240422","143428","CI00000714","3579","3308","0.00","Semiurban","138","360","202404220003"
"2404220004","20240422","140555","CI00000694","3833","0","1.00","Rural","92","360","202404220004"
"2404220005","20240422","111550","CI00000612","2896","0","1.00","Urban","80","480","202404220005"
"2404220006","20240422","114513","CI00000562","2423","505","1.00","Semiurban","130","360","202404220006"
"2404220007","20240422","095512","CI00000326","3073","0","1.00","Urban","70","180","202404220007"
"2404220008","20240422","154707","CI00000290","4243","4123","0.00","Semiurban","157","360","202404220008"
"2404220009","20240422","152512","CI00000210","8449","0","1.00","Rural","257","360","202404220009"
"2404220010","20240422","101052","CI00000171","4652","3583","1.00","Semiurban",\N,"360","202404220010"
"2404220011","20240422","114513","CI00000022","3510","0","0.00","Urban","76","360","202404220011"
"2404230001","20240423","095512","CI00000866","1700","2900","0.00","Urban","67","360","202404230001"
"2404230002","20240423","101052","CI00000576","4750","2333","1.00","Urban","130","360","202404230002"
"2404230003","20240423","140555","CI00000544","2647","1587","1.00","Rural","173","360","202404230003"
"2404240001","20240424","103050","CI00000841","11250","0","0.00","Semiurban","196","360","202404240001"
"2404240002","20240424","111550","CI00000747","2653","1500","0.00","Rural","113","180","202404240002"
"2404240003","20240424","115520","CI00000257","39999","0","0.00","Semiurban","600","180","202404240003"
"2404240004","20240424","101052","CI00000216","3571","1917","1.00","Urban","135","360","202404240004"
"2404240005","20240424","152512","CI00000150","3273","1820","1.00","Urban","81","360","202404240005"
"2404240006","20240424","103050","CI00000106","3644","0","1.00","Urban","110","360","202404240006"
"2404250001","20240425","142728","CI00000314","2500","6414","0.00","Rural","187","360","202404250001"
"2404250002","20240425","103050","CI00000301","2333","1451","0.00","Urban","102","480","202404250002"
"2404250003","20240425","103050","CI00000211","23803","0","1.00","Rural","370","360","202404250003"
"2404260001","20240426","131421","CI00000778","3691","0","1.00","Rural","110","360","202404260001"
"2404260002","20240426","095512","CI00000746","3450","2079","1.00","Semiurban","162","360","202404260002"
"2404260003","20240426","140555","CI00000709","3466","1210","1.00","Rural","130","360","202404260003"
"2404260004","20240426","095512","CI00000341","3333","1270","1.00","Urban","124","360","202404260004"
"2404260005","20240426","095512","CI00000266","1863","1041","1.00","Semiurban","98","360","202404260005"
"2404260006","20240426","101052","CI00000111","6500","2600","1.00","Semiurban","200","360","202404260006"
"2404260007","20240426","140555","CI00000109","1750","2024","1.00","Semiurban","90","360","202404260007"
"2404260008","20240426","131011","CI00000033","3881","0","0.00","Rural","147","360","202404260008"
"2404270001","20240427","095512","CI00000791","6283","4416","0.00","Rural","209","360","202404270001"
"2404270002","20240427","154707","CI00000635","2860","2988","1.00","Urban","138","360","202404270002"
"2404270003","20240427","101052","CI00000291","4344","736","1.00","Semiurban","87","360","202404270003"
"2404270004","20240427","131421","CI00000238","6260","0","1.00","Semiurban","110","360","202404270004"
"2404280001","20240428","132149","CI00000428","4333","1811","0.00","Urban","160","360","202404280001"
"2404280002","20240428","103050","CI00000316","12500","0","0.00","Urban","300","360","202404280002"
"2404280003","20240428","153549","CI00000160","4188","0","1.00","Semiurban","115","180","202404280003"
"2404290001","20240429","152512","CI00000933","3166","0","1.00","Semiurban","36","360","202404290001"
"2404290002","20240429","142728","CI00000884","3887","2669","1.00","Semiurban","162","360","202404290002"
"2404290003","20240429","131421","CI00000748","4691","0","1.00","Semiurban","100","360","202404290003"
"2404290004","20240429","154707","CI00000365","2014","2925","1.00","Rural","120","360","202404290004"
"2404290005","20240429","095512","CI00000326","3073","0","1.00","Urban","70","180","202404290005"
"2404290006","20240429","142728","CI00000134","6000","2250","0.00","Semiurban","265","360","202404290006"
"2404290007","20240429","153549","CI00000070","3410","0","1.00","Urban","88",\N,"202404290007"
"2404300001","20240430","131011","CI00000873","2492","2375","1.00","Rural",\N,"360","202404300001"
"2404300002","20240430","153549","CI00000775","5530","0","0.00","Urban","135","360","202404300002"
"2404300003","20240430","132149","CI00000098","3029","0","1.00","Urban","99","360","202404300003"
"2404300004","20240430","143428","CI00000054","3786","333","1.00","Semiurban","126","360","202404300004"
"2405010001","20240501","152512","CI00000978","7583","0","1.00","Urban","187","360","202405010001"
"2405010002","20240501","152512","CI00000919","3522","0","1.00","Rural","81","180","202405010002"
"2405010003","20240501","142728","CI00000734","7740","0","1.00","Urban","128","180","202405010003"
"2405010004","20240501","131421","CI00000418","6083","4250","0.00","Urban","330","360","202405010004"
"2405010005","20240501","143428","CI00000354","3620","0","1.00","Urban","90","360","202405010005"
"2405010006","20240501","101052","CI00000336","3244","0","1.00","Urban","80","360","202405010006"
"2405010007","20240501","131011","CI00000003","3000","0","1.00","Urban","66","360","202405010007"
"2405020001","20240502","131011","CI00000843","2550","2042","1.00","Rural","126","360","202405020001"
"2405020002","20240502","132149","CI00000548","4554","1229","1.00","Urban","158","360","202405020002"
"2405020003","20240502","114513","CI00000142","3500","3077","1.00","Semiurban","160","360","202405020003"
"2405020004","20240502","114513","CI00000052","4583","2916","1.00","Urban","200","360","202405020004"
"2405030001","20240503","142728","CI00000794","3271","0","1.00","Rural","90","360","202405030001"
"2405030002","20240503","131011","CI00000678","2717","0","1.00","Urban","60","180","202405030002"
"2405030003","20240503","131421","CI00000628","3902","1666","1.00","Rural","109","360","202405030003"
"2405030004","20240503","095512","CI00000461","3042","3167","1.00","Urban","135","360","202405030004"
"2405030005","20240503","131011","CI00000333","3500","1083","1.00","Urban","135","360","202405030005"
"2405030006","20240503","132149","CI00000278","2439","3333","1.00","Rural","129","360","202405030006"
"2405030007","20240503","115520","CI00000197","3413","4053","1.00","Semiurban",\N,"360","202405030007"
"2405030008","20240503","111550","CI00000192","14583","0","1.00","Rural","185","180","202405030008"
"2405040001","20240504","152512","CI00000919","3522","0","1.00","Rural","81","180","202405040001"
"2405040002","20240504","115520","CI00000572","2362","0","1.00","Urban","55","360","202405040002"
"2405040003","20240504","103050","CI00000271","4513","0","1.00","Rural","120","360","202405040003"
"2405040004","20240504","115520","CI00000137","3333","2000","0.00","Semiurban","99","360","202405040004"
"2405050001","20240505","153549","CI00000914","2623","4831","1.00","Semiurban","122","180","202405050001"
"2405050002","20240505","131421","CI00000523","5818","2160","1.00","Semiurban","184","360","202405050002"
"2405050003","20240505","111550","CI00000057","3667","1459","1.00","Semiurban","144","360","202405050003"
"2405060001","20240506","132149","CI00000912","2360","3355","1.00","Rural","87","240","202405060001"
"2405060002","20240506","131421","CI00000658","3887","1517","0.00","Semiurban","105","360","202405060002"
"2405060003","20240506","131421","CI00000373","4083","0","0.00","Semiurban","103","360","202405060003"
"2405060004","20240506","114513","CI00000322","7500","0","1.00","Urban","225","360","202405060004"
"2405060005","20240506","131011","CI00000138","2500","2118","1.00","Semiurban","104","360","202405060005"
"2405070001","20240507","152512","CI00000780","2157","2730","0.00","Rural","140","360","202405070001"
"2405070002","20240507","154707","CI00000710","18840","0","1.00","Rural","234","360","202405070002"
"2405070003","20240507","154707","CI00000575","5384","0","1.00","Semiurban","150","360","202405070003"
"2405070004","20240507","131011","CI00000273","4167","1447","1.00","Rural","158","360","202405070004"
"2405070005","20240507","142728","CI00000134","6000","2250","0.00","Semiurban","265","360","202405070005"
"2405080001","20240508","115520","CI00000827","5677","1424","1.00","Rural","100","360","202405080001"
"2405080002","20240508","095512","CI00000746","3450","2079","1.00","Semiurban","162","360","202405080002"
"2405080003","20240508","154707","CI00000665","5829","0","1.00","Rural","138","360","202405080003"
"2405080004","20240508","154707","CI00000605","7167","0","1.00","Urban","128","360","202405080004"
"2405080005","20240508","103050","CI00000331","4923","0","0.00","Semiurban","166","360","202405080005"
"2405090001","20240509","114513","CI00000955","2987","0","0.00","Semiurban","88","360","202405090001"
"2405090002","20240509","115520","CI00000920","4700","0","1.00","Urban","80","360","202405090002"
"2405090003","20240509","140555","CI00000874","3333","3250","1.00","Urban","158","360","202405090003"
"2405090004","20240509","114513","CI00000787","4983","0","1.00","Urban","141","360","202405090004"
"2405090005","20240509","154707","CI00000740","5667","440","0.00","Semiurban","130","360","202405090005"
"2405090006","20240509","132149","CI00000068","3765","0","1.00","Urban","125","360","202405090006"
"2405100001","20240510","101052","CI00000606","4566","0","1.00","Urban","100","360","202405100001"
"2405100002","20240510","153549","CI00000250","6835","0","0.00","Semiurban","188","360","202405100002"
"2405100003","20240510","142728","CI00000194","2214","1398","0.00","Urban","85","360","202405100003"
"2405100004","20240510","131421","CI00000178","4463","0","1.00","Semiurban","65","360","202405100004"
"2405110001","20240511","142728","CI00000704","4707","1993","1.00","Semiurban","148","360","202405110001"
"2405110002","20240511","114513","CI00000562","2423","505","1.00","Semiurban","130","360","202405110002"
"2405110003","20240511","152512","CI00000090","2740","1541","1.00","Urban","101","360","202405110003"
"2405110004","20240511","140555","CI00000064","2400","0","1.00","Urban","75","360","202405110004"
"2405120001","20240512","152512","CI00000735","24797","0","1.00","Semiurban","240","360","202405120001"
"2405120002","20240512","103050","CI00000481","3762","1666","1.00","Rural","135","360","202405120002"
"2405120003","20240512","140555","CI00000334","3917","0","1.00","Semiurban","124","360","202405120003"
"2405130001","20240513","132149","CI00000833","2600","700","1.00","Semiurban","96","360","202405130001"
"2405130002","20240513","152512","CI00000555","3083","2168","1.00","Urban","126","360","202405130002"
"2405130003","20240513","143428","CI00000204","4166","0","1.00","Semiurban","44","360","202405130003"
"2405140001","20240514","142728","CI00000749","2500","0","0.00","Urban","93","360","202405140001"
"2405140002","20240514","111550","CI00000732","2083","4083","0.00","Semiurban","160","360","202405140002"
"2405140003","20240514","114513","CI00000487","2917","0","1.00","Semiurban","84","360","202405140003"
"2405140004","20240514","152512","CI00000330","2600","2500","1.00","Semiurban","90","360","202405140004"
"2405140005","20240514","153549","CI00000100","7350","4029","1.00","Urban","185","180","202405140005"
"2405140006","20240514","103050","CI00000076","0","24000","0.00","Rural","148","360","202405140006"
"2405150001","20240515","142728","CI00000809","3729","0","1.00","Semiurban","117","360","202405150001"
"2405150002","20240515","095512","CI00000761","6500","0","1.00","Urban","144","360","202405150002"
"2405150003","20240515","095512","CI00000356","4000","0","1.00","Urban","83","84","202405150003"
"2405150004","20240515","152512","CI00000270","3089","1280","0.00","Semiurban","121","360","202405150004"
"2405150005","20240515","140555","CI00000169","2917","3583","1.00","Semiurban","138","360","202405150005"
"2405150006","20240515","131011","CI00000093","3366","2200","1.00","Rural","135","360","202405150006"
"2405160001","20240516","101052","CI00000924","1782","2232","1.00","Rural","107","360","202405160001"
"2405160002","20240516","115520","CI00000332","3992","0","1.00","Urban",\N,"180","202405160002"
"2405160003","20240516","095512","CI00000086","6250","820","1.00","Urban","192","360","202405160003"
"2405170001","20240517","153549","CI00000914","2623","4831","1.00","Semiurban","122","180","202405170001"
"2405170002","20240517","111550","CI00000372","3189","2598","1.00","Rural","120",\N,"202405170002"
"2405170003","20240517","143428","CI00000279","2237","0","0.00","Semiurban","63","480","202405170003"
"2405170004","20240517","095512","CI00000176","3250","0","1.00","Semiurban","95","360","202405170004"
"2405170005","20240517","101052","CI00000021","2340","2546","1.00","Urban","100","360","202405170005"
"2405180001","20240518","132149","CI00000818","14987","0","1.00","Rural","177","360","202405180001"
"2405190001","20240519","131421","CI00000946","3000","3416","1.00","Semiurban","56","180","202405190001"
"2405190002","20240519","111550","CI00000897","3621","2717","1.00","Urban","171","360","202405190002"
"2405190003","20240519","154707","CI00000665","5829","0","1.00","Rural","138","360","202405190003"
"2405190004","20240519","095512","CI00000566","3875","0","1.00","Urban","67","360","202405190004"
"2405190005","20240519","140555","CI00000379","3089","2999","1.00","Rural","100","240","202405190005"
"2405200001","20240520","132149","CI00000638","4547","0","1.00","Semiurban","115","360","202405200001"
"2405200002","20240520","154707","CI00000335","4408","0","1.00","Semiurban","120","360","202405200002"
"2405200003","20240520","132149","CI00000188","3572","4114","0.00","Rural","152",\N,"202405200003"
"2405200004","20240520","131011","CI00000018","5000","1800","1.00","Urban","208","360","202405200004"
"2405210001","20240521","095512","CI00000896","9699","0","1.00","Urban","300","360","202405210001"
"2405210002","20240521","131421","CI00000748","4691","0","1.00","Semiurban","100","360","202405210002"
"2405210003","20240521","115520","CI00000737","5191","0","1.00","Semiurban","132","360","202405210003"
"2405210004","20240521","101052","CI00000726","4301","0","1.00","Urban","118","360","202405210004"
"2405210005","20240521","152512","CI00000645","2231","2774","0.00","Urban","176","360","202405210005"
"2405210006","20240521","114513","CI00000322","7500","0","1.00","Urban","225","360","202405210006"
"2405210007","20240521","103050","CI00000196","6356","0","1.00","Rural","50","360","202405210007"
"2405210008","20240521","153549","CI00000145","5293","0","1.00","Urban","92","360","202405210008"
"2405210009","20240521","114513","CI00000082","3772","833","0.00","Semiurban","57","360","202405210009"
"2405220001","20240522","111550","CI00000672","7250","1667","0.00","Urban","110",\N,"202405220001"
"2405220002","20240522","131421","CI00000583","2747","2458","1.00","Semiurban","118","36","202405220002"
"2405220003","20240522","101052","CI00000441","14583","0","1.00","Semiurban","436","360","202405220003"
"2405220004","20240522","140555","CI00000199","3829","1103","0.00","Urban","163","360","202405220004"
"2405230001","20240523","101052","CI00000954","6383","1000","1.00","Rural","187","360","202405230001"
"2405230002","20240523","143428","CI00000864","4283","0","1.00","Rural","120","360","202405230002"
"2405230003","20240523","131421","CI00000703","2792","2619","1.00","Semiurban","171","360","202405230003"
"2405230004","20240523","103050","CI00000541","2500","4600","1.00","Rural","176","360","202405230004"
"2405230005","20240523","152512","CI00000285","4082","0","1.00","Semiurban","93","360","202405230005"
"2405230006","20240523","095512","CI00000281","1820","1769","1.00","Rural","95","360","202405230006"
"2405240001","20240524","103050","CI00000781","17263","0","1.00","Semiurban","225","360","202405240001"
"2405240002","20240524","152512","CI00000375","3155","1779","1.00","Semiurban","140","360","202405240002"
"2405240003","20240524","114513","CI00000202","5667","2667","1.00","Rural","180","360","202405240003"
"2405240004","20240524","154707","CI00000170","4700","0","0.00","Semiurban","135","360","202405240004"
"2405250001","20240525","132149","CI00000218","3066","0","1.00","Semiurban","95","360","202405250001"
"2405260001","20240526","154707","CI00000909","3015","2000","0.00","Urban","145","360","202405260001"
"2405260002","20240526","131011","CI00000798","2666","0","1.00","Semiurban","84","480","202405260002"
"2405260003","20240526","101052","CI00000546","3159","2374","1.00","Semiurban","108","360","202405260003"
"2405270001","20240527","115520","CI00000980","9200","0","1.00","Rural","98","180","202405270001"
"2405270002","20240527","114513","CI00000847","2917","536","1.00","Rural","66","360","202405270002"
"2405270003","20240527","101052","CI00000771","2435","0","1.00","Urban","75","360","202405270003"
"2405270004","20240527","111550","CI00000732","2083","4083","0.00","Semiurban","160","360","202405270004"
"2405270005","20240527","095512","CI00000626","2412","2755","1.00","Rural","130","360","202405270005"
"2405270006","20240527","132149","CI00000503","3541","0","0.00","Semiurban","112","360","202405270006"
"2405270007","20240527","132149","CI00000338","3975","2531","1.00","Rural","55","360","202405270007"
"2405270008","20240527","143428","CI00000294","2045","1619","1.00","Rural","101","360","202405270008"
"2405270009","20240527","131011","CI00000228","4895","0","1.00","Semiurban","102","360","202405270009"
"2405270010","20240527","103050","CI00000226","13518","0","1.00","Rural","390","360","202405270010"
"2405280001","20240528","111550","CI00000960","2500","0","1.00","Urban","60","360","202405280001"
"2405280002","20240528","131011","CI00000888","5041","700","1.00","Urban","150","360","202405280002"
"2405280003","20240528","131011","CI00000783","3597","2157","0.00","Rural","119","360","202405280003"
"2405280004","20240528","131421","CI00000643","2213","0","1.00","Rural","66","360","202405280004"
"2405280005","20240528","143428","CI00000624","3276","484","0.00","Semiurban","135","360","202405280005"
"2405280006","20240528","111550","CI00000522","10000","2690","1.00","Semiurban","412","360","202405280006"
"2405280007","20240528","101052","CI00000381","6794","528","0.00","Urban","139","360","202405280007"
"2405280008","20240528","143428","CI00000219","20166","0","0.00","Urban","650","480","202405280008"
"2405280009","20240528","131421","CI00000058","4166","7210","1.00","Urban","184","360","202405280009"
"2405290001","20240529","143428","CI00000579","6822","0","1.00","Rural","141","360","202405290001"
"2405290002","20240529","131421","CI00000508","2400","2167","1.00","Semiurban","115","360","202405290002"
"2405290003","20240529","132149","CI00000503","3541","0","0.00","Semiurban","112","360","202405290003"
"2405290004","20240529","143428","CI00000159","1977","997","1.00","Semiurban","50","360","202405290004"
"2405300001","20240530","140555","CI00000952","16120","0","1.00","Urban","260","360","202405300001"
"2405300002","20240530","114513","CI00000757","4350","0","1.00","Rural","154","360","202405300002"
"2405300003","20240530","154707","CI00000665","5829","0","1.00","Rural","138","360","202405300003"
"2405300004","20240530","103050","CI00000541","2500","4600","1.00","Rural","176","360","202405300004"
"2405300005","20240530","114513","CI00000517","15000","0","1.00","Rural","300","360","202405300005"
"2405300006","20240530","143428","CI00000384","3315","0","1.00","Semiurban","96","360","202405300006"
"2405310001","20240531","154707","CI00000785","2600","1700","1.00","Rural","107","360","202405310001"
"2405310002","20240531","111550","CI00000612","2896","0","1.00","Urban","80","480","202405310002"
"2405310003","20240531","140555","CI00000529","4384","1793","1.00","Urban","117","360","202405310003"
"2405310004","20240531","154707","CI00000275","4523","1350","1.00","Urban","165","360","202405310004"
"2405310005","20240531","152512","CI00000165","2101","1500","0.00","Rural","108","360","202405310005"
"2405310006","20240531","140555","CI00000124","3750","0","1.00","Urban","113","480","202405310006"
"2406010001","20240601","103050","CI00000781","17263","0","1.00","Semiurban","225","360","202406010001"
"2406010002","20240601","131421","CI00000658","3887","1517","0.00","Semiurban","105","360","202406010002"
"2406010003","20240601","131011","CI00000633","2755","0","1.00","Rural","65","300","202406010003"
"2406010004","20240601","114513","CI00000592","9323","7873","1.00","Rural","380","300","202406010004"
"2406010005","20240601","111550","CI00000552","2583","2330","1.00","Rural","125","360","202406010005"
"2406010006","20240601","095512","CI00000506","4521","1184","1.00","Semiurban","150","360","202406010006"
"2406010007","20240601","111550","CI00000312","2333","3803","1.00","Rural","146","360","202406010007"
"2406020001","20240602","095512","CI00000761","6500","0","1.00","Urban","144","360","202406020001"
"2406020002","20240602","131421","CI00000553","2499","2458","1.00","Semiurban","160","360","202406020002"
"2406030001","20240603","152512","CI00000900","3333","0","1.00","Urban","70","360","202406030001"
"2406030002","20240603","131011","CI00000813","3283","2035","1.00","Urban","148","360","202406030002"
"2406040001","20240604","114513","CI00000382","3812","0","1.00","Rural","112","360","202406040001"
"2406050001","20240605","131011","CI00000363","3250","0","1.00","Rural","170","360","202406050001"
